PolicyName,PolicyType,PolicyDescription,PolicyOwnerType,PolicyOwner,PolicyEnabled,ExternalReference,Tags,Query1Name,Query1,Query2Name,Query2,ViolationOwnerType,ViolationOwner,MitigatingControls,CorrectionAdvice,Actions,PolicySchedule,CertificationName,CertificationDescription,CertificationSchedule
Accounting General vs. Invoicing,SOD,This policy looks across multiple applications for Accounting General and Invoicing conflicts in accordance with SOX 2.0 compliance controls.,IDENTITY,mostafa.helmy,FALSE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Accounting General,"name:""AccountingGeneral"" AND source.name:""Active Directory""",Invoicing,"name:""Invoice"" AND source.name:""Active Directory""",IDENTITY,mostafa.helmy,Risk manager daily review - check for unauthorized supplier creation and review of daily transactions.,Remove the Accounting General or Invoicing conflicts or get VP approval.,"REPORT,CERTIFY",MONTHLY,SoD Campaign - Accounting General vs. Invoicing - Monthly,This campaign reviews users with access across multiple applications for Accounting General and Invoicing conflicts in accordance with SOX 2.0 compliance controls.,MONTHLY
Accounts Payable vs. Accounts Receivable,SOD,This policy looks across multiple applications for Accounts Receivable and Payable conflicts in accordance with SOX 2.0 compliance controls.,IDENTITY,mostafa.helmy,Yes,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Accounts Payable,"name:""AccountsPayable""",Accounts Receivable,"name:""AccountsReceivable""",MANAGER,,Manager daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Accounts Payable or Accounts Receivable conflicts or get VP approval.,,,,,
Accounts Payable vs. Accounts Receivable - Weekly,SOD,This policy looks across multiple applications for Accounts Receivable and Payable conflicts in accordance with SOX 2.0 compliance controls.,GOVERNANCE_GROUP,Accounting,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Accounts Payable,tags:SOD_AP,Accounts Receivable,tags:SOD_AR,GOVERNANCE_GROUP,Accounting,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Accounts Payable or Accounts Receivable conflicts or get VP approval.,REPORT,WEEKLY,,,
Sample Policy 1,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG1,Sample Right,tags:LEFT_TAG2,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 2,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG2,Sample Right,tags:LEFT_TAG3,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 3,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG3,Sample Right,tags:LEFT_TAG4,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 4,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG4,Sample Right,tags:LEFT_TAG5,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 5,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG5,Sample Right,tags:LEFT_TAG6,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 6,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG6,Sample Right,tags:LEFT_TAG7,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 7,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG7,Sample Right,tags:LEFT_TAG8,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 8,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG8,Sample Right,tags:LEFT_TAG9,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 9,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG9,Sample Right,tags:LEFT_TAG10,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
Sample Policy 10,SOD,This is a sample policy meant to fail but check performance.,IDENTITY,mostafa.helmy,TRUE,https://www.sec.gov/info/smallbus/404guide/intro.shtml,"SOX,ACCOUNTING",Sample Left,tags:LEFT_TAG10,Sample Right,tags:LEFT_TAG11,IDENTITY,mostafa.helmy,Accounting Team daily review - check for unauthorized supplier creation and review of daily transactions.,Remove one of the Cash In or Cash Out conflicts or get VP approval.,,,,,
